invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,invoiceyear,invoicemonth,totalcost
564817,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2011-08-30 12:02:00,5.79,Unknown,United Kingdom,2011,8,5.79
560433,22378,WALL TIDY RETROSPOT ,1,2011-07-18 15:49:00,1.63,Unknown,United Kingdom,2011,7,1.63
549964,21625,VINTAGE UNION JACK APRON,3,2011-04-13 14:12:00,6.95,13122.0,United Kingdom,2011,4,20.85
564749,22727,ALARM CLOCK BAKELIKE RED ,4,2011-08-30 08:15:00,3.75,12708.0,Germany,2011,8,15.0
544202,22197,SMALL POPCORN HOLDER,2,2011-02-17 10:29:00,1.63,Unknown,United Kingdom,2011,2,3.26
562282,23170,REGENCY TEA PLATE ROSES ,12,2011-08-04 10:38:00,1.65,13098.0,United Kingdom,2011,8,19.8
545170,22149,FELTCRAFT 6 FLOWER FRIENDS,1,2011-02-28 14:15:00,2.1,14078.0,United Kingdom,2011,2,2.1
561698,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-07-29 10:21:00,0.65,15974.0,United Kingdom,2011,7,10.4
538783,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,2010-12-14 11:38:00,2.55,14961.0,United Kingdom,2010,12,15.3
545906,48187,DOORMAT NEW ENGLAND,2,2011-03-08 09:23:00,7.95,15764.0,United Kingdom,2011,3,15.9
548655,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,2011-04-01 13:47:00,9.95,15605.0,United Kingdom,2011,4,19.9
576618,21722,SWEET PUDDING STICKER SHEET,1,2011-11-15 17:00:00,1.63,Unknown,United Kingdom,2011,11,1.63
577721,20866,BLUE ROSE FABRIC MIRROR,8,2011-11-21 12:24:00,1.25,13167.0,United Kingdom,2011,11,10.0
558639,20725,LUNCH BAG RED RETROSPOT,20,2011-07-01 08:55:00,1.65,13492.0,Switzerland,2011,7,33.0
574709,23439,HAND WARMER RED LOVE HEART,24,2011-11-06 14:14:00,2.1,17768.0,United Kingdom,2011,11,50.400000000000006
571280,23371,SET 36 COLOUR PENCILS SPACEBOY ,4,2011-10-16 13:08:00,1.25,18122.0,United Kingdom,2011,10,5.0
542888,22624,IVORY KITCHEN SCALES,2,2011-02-01 13:15:00,8.5,15687.0,United Kingdom,2011,2,17.0
545979,22148,EASTER CRAFT 4 CHICKS ,2,2011-03-08 12:30:00,1.95,12748.0,United Kingdom,2011,3,3.9
573576,23263,SET OF 3 WOODEN HEART DECORATIONS,7,2011-10-31 14:09:00,2.46,14096.0,United Kingdom,2011,10,17.22
559499,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,11,2011-07-08 14:22:00,4.13,Unknown,United Kingdom,2011,7,45.43
538211,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-10 11:47:00,2.95,17690.0,United Kingdom,2010,12,17.700000000000003
555540,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-05 12:48:00,8.5,13668.0,United Kingdom,2011,6,8.5
